imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,banner_url,season_count
tt8146760,338738,series,Summer Camp Island,2018,"Adventure,Animation,Comedy",11,"Bobby Moynihan,Bobby Moynihan,Bobby Moynihan",7.7,2105,TV-Y7,https://artworks.thetvdb.com/banners/series/338738/panels/5ebdf5cac22a9.jpg,6
tt8147076,358508,series,Pure,2019,"Comedy,Drama",35,"Joe Cole,Anthony Welsh,Anthony Welsh",7.3,3092,TV-MA,https://artworks.thetvdb.com/banners/v4/series/358508/backgrounds/62f94cbbf129e.jpg,1
tt8160890,370577,series,Monogamy,2018,Drama,30,"Darius McCrary,Blue Kimble,Wesley Jonathan",6.6,503,TV-MA,https://artworks.thetvdb.com/banners/v4/series/370577/backgrounds/61325cb67d204.jpg,3
tt8165086,365629,series,Sintonia,2019,"Crime,Drama,Music",40,"Rhamon Garcia,Christian Malheiros,Jottapê Carvalho",6.8,1651,TV-MA,https://artworks.thetvdb.com/banners/series/365629/backgrounds/5ed5a247d07b6.jpg,5
tt8174510,436026,series,The Red King,2024,Thriller,47,"James Bamford,Sam Swainsbury,Marc Warren",6.6,929,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/436026/backgrounds/6633e65c8ace3.jpg,1
tt8179162,363714,series,BH90210,2019,"Comedy,Drama,Romance",43,"Brian Austin Green,Jason Priestley,Ian Ziering",6.9,4520,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/363714/backgrounds/6180002d35fa0.jpg,1
tt8191620,146655,movie,Ravage,2019,"Horror,Thriller",84,"Robert Longstreet,Bruce Dern,Michael Weaver",5.0,1964,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/146655/backgrounds//qRGgUys6UWeT7RUkxzmlZuPNSkO.jpg,MOVIE
tt8199790,347590,series,Joe Pera Talks with You,2018,"Comedy,Short",11,"Joe Pera,Conner O'Malley,Gene Kelly",8.9,3720,TV-14,https://artworks.thetvdb.com/banners/series/347590/panels/5ef155e99432f.jpg,3
tt8201186,354800,series,The Capture,2019,"Crime,Mystery,Thriller",60,"Ben Miles,Cavan Clerkin,Ron Perlman",8.0,23982,UNAVAILABLE,https://artworks.thetvdb.com/banners/series/354800/backgrounds/5f3eb93d8e45e.jpg,2
tt8205928,350067,series,"Sex, Lies & Murder",2018,"Crime,Documentary",45,"Jason Lewis,Jason Lewis,Jason Lewis",7.4,63,TV-14,https://artworks.thetvdb.com/banners/v4/series/350067/backgrounds/62bac8d85e4ef.jpg,1
tt8219352,148616,movie,Contagion! The BBC Four Pandemic,2018,Documentary,75,Christopher McPhillips,7.6,91,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/148616/backgrounds//l7KUHJVsOPu2OLyrFEtaXPysLAC.jpg,MOVIE
tt8225204,338455,series,Golden Kamuy,2018,"Action,Adventure,Animation",24,"Chikahiro Kobayashi,Fumihiko Tachiki,Fumihiko Tachiki",8.0,2691,TV-MA,https://artworks.thetvdb.com/banners/v4/series/338455/backgrounds/65e6cc8a26a6c.jpg,5
tt8228884,147775,movie,I Got the Hook Up 2,2019,Comedy,107,"Johnny 'Koolout' Starks,Johnny 'Koolout' Starks,Alexandru Achindinov",3.1,442,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/147775/backgrounds//iSvd93vsiG39rKDp7PVLQMas8Le.jpg,MOVIE
tt8233368,98,movie,Milly & Mamet,2018,"Comedy,Drama",101,"Yoshi Sudarso,Pierre Gruno,Ernest Prakasa",7.3,899,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/98/backgrounds/61395579f05fa.jpg,MOVIE
tt8236566,154517,movie,The Dip Run,2018,Comedy,96,"Jared Boyce,Jesse Ryan,Christopher Padilla",2.5,210,R,https://artworks.thetvdb.com/banners/movies/154517/backgrounds//5h8NR0n6q8WgpQ6NmISJiTTxy4l.jpg,MOVIE
tt8242084,131085,movie,My Spy,2020,"Action,Comedy",99,"Dave Bautista,Greg Bryk,Ken Jeong",6.4,38063,PG-13,https://artworks.thetvdb.com/banners/v4/movie/131085/backgrounds/64ca41c1e4239.jpg,MOVIE
tt8242904,345327,series,What's Wrong with Secretary Kim,2018,"Comedy,Mystery,Romance",60,"Park Seo-joon,Lee Tae-Hwan,Kim Byeong-Ok",8.0,20139,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/345327/backgrounds/64dd2a1976b37.jpg,1
tt8248940,347361,movie,Deltopia,2023,Drama,103,"Charlie Gillespie,Will Peltz,Eugene Ko",4.2,250,R,https://artworks.thetvdb.com/banners/v4/movie/347361/backgrounds/6525c11f3c76d.jpg,MOVIE
tt8254348,360278,series,ImMATURE,2019,"Comedy,Drama,Romance",25,"Omkar Kulkarni,Chinmay Chandraunshuh,Naman Jain",8.6,10455,TV-PG,https://artworks.thetvdb.com/banners/v4/series/360278/backgrounds/672a9ff25c74a.jpg,3
tt8259142,359220,series,Baptiste,2019,"Crime,Drama,Thriller",60,"Tchéky Karyo,Tom Hollander,Ace Bhatti",7.3,10510,TV-14,https://artworks.thetvdb.com/banners/v4/series/359220/backgrounds/60ed82b831187.jpg,2
tt8266218,363930,series,T.O.T.S.,2019,"Adventure,Animation,Comedy",22,"Christian J. Simon,Christian J. Simon,Thimo van Haaren",6.6,524,TV-Y,https://artworks.thetvdb.com/banners/series/363930/panels/5f2fb7f2a5dac.jpg,3
tt8269120,132423,movie,Dark Encounter,2019,"Mystery,Sci-Fi,Thriller",97,"Mel Raido,Sid Phoenix,Grant Masters",5.3,4554,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/132423/backgrounds/62015885.jpg,MOVIE
tt8269398,343036,series,Come and Hug Me,2018,"Crime,Drama,Mystery",35,"Jang Ki-yong,Huh Joon-ho,Kwon Hyeok-soo",7.7,1533,TV-MA,https://artworks.thetvdb.com/banners/v4/series/343036/backgrounds/62673f3c4325b.jpg,1
tt8270592,368638,series,Miss Scarlet & the Duke,2020,"Crime,Drama,Thriller",60,"Stuart Martin,Simon Ludders,Simon Ludders",7.7,11486,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/368638/backgrounds/654eaaa24394d.jpg,5
tt8273104,332234,movie,Captive,2020,Thriller,90,"William Kircher,Jairus Carey,Chris Barry",5.5,1755,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/332234/backgrounds/64a12dab0b835.jpg,MOVIE
tt8285216,327325,series,Better Than Us,2018,"Drama,Sci-Fi",52,"Kirill Käro,Aleksandr Ustyugov,Aleksandr Ustyugov",7.3,11273,UNAVAILABLE,https://artworks.thetvdb.com/banners/series/327325/backgrounds/5ee5227e8a68d.jpg,1
tt8289504,318269,movie,Rock For Jesus: The Ultimate Comeback,2018,Drama,130,"Joel Jackson,Joshua Nathan Sears,Brian Elmore",6.1,23,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/movie/318269/backgrounds/6188a284138b2.jpg,MOVIE
tt8290068,159691,movie,To Hell and Gone,2019,Western,82,"Carr Cavender,P.J. Marshall,Robert Morgan",5.9,332,UNAVAILABLE,https://artworks.thetvdb.com/banners/movies/159691/backgrounds//gF5kldLPYQAiISzsi3K64omFBJa.jpg,MOVIE
tt8290414,389431,series,Cryptid,2020,"Drama,Horror,Thriller",22,"Julius Fleischanderl,Christian Fandango Sundgren,Johan Hedenberg",5.5,670,UNAVAILABLE,https://artworks.thetvdb.com/banners/series/389431/panels/5f7afe8fd08c2.jpg,1
tt8291284,349187,series,The Peripheral,2022,"Drama,Mystery,Sci-Fi",60,"Gary Carr,Jack Reynor,JJ Feild",7.6,83824,TV-MA,https://artworks.thetvdb.com/banners/v4/series/349187/backgrounds/634399f79304f.jpg,1
tt8291288,377638,series,Sunny Beach,2021,"Comedy,Drama,Family",43,"Boyko Krastanov,Yavor Baharov,Yavor Baharov",7.7,706,UNAVAILABLE,https://artworks.thetvdb.com/banners/series/377638/backgrounds/62091422.jpg,3
tt8292040,413540,series,Australia's Best Street Racer,2019,Comedy,13,"Dylan Hesp,Gerard Lane,Gerard Lane",8.6,19,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/413540/backgrounds/61bd6293ecf21.jpg,2
tt8304676,371260,series,The Grave,2019,"Crime,Drama,Mystery",50,"Nadav Netz,Shalom Michaelshwilli,Tsahi Halevi",6.8,490,UNAVAILABLE,https://artworks.thetvdb.com/banners/v4/series/371260/backgrounds/60abca56daa42.jpg,1
tt8305852,141471,movie,All My Life,2020,"Drama,Romance",91,"Harry Shum Jr.,Jay Pharoah,Kyle Allen",6.3,6317,PG-13,https://artworks.thetvdb.com/banners/movies/141471/panels/601ddba4baca8.jpg,MOVIE
tt8310612,354628,series,The Other Two,2019,Comedy,30,"Drew Tarver,Ken Marino,Case Walker",7.8,11240,TV-MA,https://artworks.thetvdb.com/banners/v4/series/354628/backgrounds/611d3aa55bbd5.jpg,3
tt8318284,146531,movie,The Legion,2020,"Action,Adventure,History",96,"Lee Partridge,Mickey Rourke,Joaquim de Almeida",3.2,1181,R,https://artworks.thetvdb.com/banners/movies/146531/backgrounds//rVkFyBf5Ery4j4gVZU79dt3jayW.jpg,MOVIE
tt8319644,362442,series,Games People Play,2019,"Drama,Sport",60,"Sarunas J. Jackson,Jackie Long,Kendall Kyndall",6.5,597,TV-14,https://artworks.thetvdb.com/banners/v4/series/362442/backgrounds/61ec16e47864e.jpg,2
