imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url,drive_url,file_id
tt1553656,264492,series,Under the Dome,2013,"Drama,Mystery,Sci-Fi",43,"Mike Vogel,Alexander Koch,Colin Ford",6.5,113939,12,3,https://resizing.flixster.com/S3eJtl5AYCy4WWcoCLM_4Zez118=/fit-in/705x460/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9621445_b_h10_ae.jpg,https://drive.google.com/file/d/1ok_9GpiRZC2AsmtJrNVHc3gGCDuWWJsJ/view?usp=drive_link,1ok_9GpiRZC2AsmtJrNVHc3gGCDuWWJsJ
tt1559547,1742,movie,Beautiful Creatures,2013,"Drama,Fantasy,Romance",124,"Alden Ehrenreich,Jeremy Irons,Thomas Mann",6.1,91562,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/1742/backgrounds/6468522c2b213.jpg,https://drive.google.com/file/d/13w7nHofZlGyaU7TsJeRqxrEWY-ca4dkw/view?usp=drive_link,13w7nHofZlGyaU7TsJeRqxrEWY-ca4dkw
tt1561755,194031,series,Bob's Burgers,2011,"Animation,Comedy",22,H. Jon Benjamin,8.2,94835,12,15,https://artworks.thetvdb.com/banners/v4/series/194031/backgrounds/65030beee231e.jpg,https://drive.google.com/file/d/1cMD9b6M7YlTDAwunfId4OL7wkypDM4l1/view?usp=drive_link,1cMD9b6M7YlTDAwunfId4OL7wkypDM4l1
tt1567432,175001,series,Teen Wolf,2011,"Action,Drama,Fantasy",41,"Dylan O'Brien,Tyler Posey",7.7,166877,12,6,https://artworks.thetvdb.com/banners/series/175001/panels/5edaa2ae5c032.jpg,https://drive.google.com/file/d/1kg3XBcsD8hlA7UuYcUHidsICGMVCy-I_/view?usp=drive_link,1kg3XBcsD8hlA7UuYcUHidsICGMVCy-I_
tt1570728,1730,movie,"Crazy, Stupid, Love.",2011,"Comedy,Drama,Romance",118,"Ryan Gosling,Jonah Bobo,Steve Carell",7.4,576513,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/1730/backgrounds/6363f850de298.jpg,https://drive.google.com/file/d/10EbLzUvBki9m1DARj0iLALSNBL9hTsc0/view?usp=drive_link,10EbLzUvBki9m1DARj0iLALSNBL9hTsc0
tt1578873,146711,series,Pretty Little Liars,2010,"Drama,Mystery,Romance",44,"Keegan Allen,Ian Harding,Tyler Blackburn",7.4,180943,12,7,https://artworks.thetvdb.com/banners/series/146711/panels/5eb33cbcbbdf6.jpg,https://drive.google.com/file/d/1zSFN_cHGkPbP7UbX6VIFufUyg-Pz193d/view?usp=drive_link,1zSFN_cHGkPbP7UbX6VIFufUyg-Pz193d
tt1586680,161511,series,Shameless,2011,"Comedy,Drama",60,"Ethan Cutkosky,William H. Macy",8.5,297952,16,11,https://artworks.thetvdb.com/banners/series/161511/backgrounds/5ecbb68fdc812.jpg,https://drive.google.com/file/d/130suR4_qsEM4bM4hD-sgDpDCAH60JNS7/view?usp=drive_link,130suR4_qsEM4bM4hD-sgDpDCAH60JNS7
tt1588173,1924,movie,Warm Bodies,2013,"Comedy,Horror,Romance",98,"John Malkovich,Rob Corddry,Nicholas Hoult",6.8,246314,12,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/1924/backgrounds/66423485e7534.jpg,https://drive.google.com/file/d/14dayAr09aQXSdfpCY_ylGzw82OTAc6O-/view?usp=drive_link,14dayAr09aQXSdfpCY_ylGzw82OTAc6O-
tt1595859,164981,series,Blue Bloods,2010,"Crime,Drama,Mystery",43,"Len Cariou,Donnie Wahlberg,Will Estes",7.7,49310,12,14,https://artworks.thetvdb.com/banners/v4/series/164981/backgrounds/63298d952a342.jpg,https://drive.google.com/file/d/1anYOZG6c36QWwNegyxAnLGSV4gZa9j78/view?usp=drive_link,1anYOZG6c36QWwNegyxAnLGSV4gZa9j78
tt1600194,164541,series,Hawaii Five-0,2010,"Action,Crime,Drama",42,"Alex O'Loughlin,Scott Caan",7.4,79735,12,10,https://artworks.thetvdb.com/banners/series/164541/panels/5e87b954981c5.jpg,https://drive.google.com/file/d/1mkdW6ODF4bGEHo5msAOvYAKp0TV_Uejx/view?usp=drive_link,1mkdW6ODF4bGEHo5msAOvYAKp0TV_Uejx
tt1606375,193131,series,Downton Abbey,2010,"Drama,Romance",60,"Hugh Bonneville,Brendan Coyle,Jim Carter",8.7,229086,12,6,https://artworks.thetvdb.com/banners/v4/series/193131/backgrounds/625b06fc621e6.jpg,https://drive.google.com/file/d/14GcQ3cR5BSKSFXByTrmRi1okbNNZIOGu/view?usp=drive_link,14GcQ3cR5BSKSFXByTrmRi1okbNNZIOGu
tt1615147,3414,movie,Margin Call,2011,"Drama,Thriller",107,"Zachary Quinto,Stanley Tucci,Kevin Spacey",7.1,148259,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/movies/3414/backgrounds/5f5b1901b0843.jpg,https://drive.google.com/file/d/1lEvntyTcOnL2vxU9hSjSytuyuuRoKTZg/view?usp=drive_link,1lEvntyTcOnL2vxU9hSjSytuyuuRoKTZg
tt1622979,2099,movie,Final Destination 5,2011,"Horror,Thriller",92,"Nicholas D'Agosto,Arlen Escarpeta,Miles Fisher",5.9,127818,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/2099/backgrounds/668cb467a1ae7.jpg,https://drive.google.com/file/d/1BTfhHXZC3_wwn0o6B8vEoosqU9ph9lOF/view?usp=drive_link,1BTfhHXZC3_wwn0o6B8vEoosqU9ph9lOF
tt1628033,74608,series,Top Gear,2002,Adventure,60,Ben Collins,8.7,129289,6,33,https://artworks.thetvdb.com/banners/v4/series/74608/backgrounds/65359dd86e7e8.jpg,https://drive.google.com/file/d/1XBF3mY4SSM7wbcwo9n7IaTtrTEJ0mFQM/view?usp=drive_link,1XBF3mY4SSM7wbcwo9n7IaTtrTEJ0mFQM
