imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url
tt9639470,70065,movie,Last Night in Soho,2021,"Drama,Horror,Mystery",116,"Matt Smith,Colin Mace,Michael Ajao",7.0,184273,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/70065/backgrounds/6198b65ac0067.jpg
tt9660182,387525,series,Resident Evil,2022,"Action,Horror,Sci-Fi",60,"Anthony Oseyemi,Lance Reddick,Connor Gosatti",4.2,46719,16,1,https://artworks.thetvdb.com/banners/v4/series/387525/backgrounds/6246310c2de95.jpg
tt9680440,381272,series,Paatal Lok,2020,"Crime,Drama,Thriller",44,"Ishwak Singh,Neeraj Kabi,Jaideep Ahlawat",8.1,65983,16,2,https://artworks.thetvdb.com/banners/series/381272/backgrounds/5ebec441a4a28.jpg
tt9731598,157428,movie,Bros,2022,"Comedy,Romance",115,"Luke Macfarlane,Guy Branum,Billy Eichner",6.4,36607,16,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/157428/backgrounds/634e4f7990a47.jpg
tt9737326,404492,series,Invasion,2021,"Drama,Fantasy,Sci-Fi",60,"Azhy Robertson,Shamier Anderson,Billy Barratt",6.2,47358,16,2,https://artworks.thetvdb.com/banners/v4/series/404492/backgrounds/617244b0e55a5.jpg
tt9764362,337249,movie,The Menu,2022,"Comedy,Horror,Thriller",107,"Paul Adelstein,Ralph Fiennes,Nicholas Hoult",7.2,418399,16,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/337249/backgrounds/66a5a1d8e2715.jpg
tt9794044,393268,series,Citadel,2023,"Action,Drama,Thriller",41,"Roland Møller,Stanley Tucci,Richard Madden",6.2,34936,12,2,https://artworks.thetvdb.com/banners/v4/series/393268/backgrounds/640bd8e691cd1.jpg
tt9813792,401003,series,From,2022,"Drama,Horror,Mystery",52,"David Alpay,Harold Perrineau,Eion Bailey",7.8,93897,UNAVAILABLE,4,https://artworks.thetvdb.com/banners/v4/series/401003/backgrounds/6206d8dc2433b.jpg
tt9848626,79179,movie,Hotel Transylvania 4: Transformania,2022,"Adventure,Animation,Comedy",87,"Steve Buscemi,Andy Samberg,Jim Gaffigan",6.0,41108,6,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/79179/backgrounds/6070f41fcb834.jpg
tt9859436,427202,series,The Walking Dead: The Ones Who Live,2024,"Drama,Horror,Thriller",60,"Robert O'Hara,Terry O'Quinn,Andrew Lincoln",7.9,34533,16,1,https://artworks.thetvdb.com/banners/v4/series/427202/backgrounds/64bb33f262eaf.jpg
tt9866072,140960,movie,Holidate,2020,"Comedy,Romance",104,"Andrew Bachelor,Manish Dayal,Luke Bracey",6.1,80477,16,MOVIE,https://artworks.thetvdb.com/banners/movies/140960/backgrounds/5f73725e996ff.jpg
